,Close
350,22.34
351,22.5
352,22.59
353,22.57
354,22.6
355,22.55
356,22.74
357,22.72
358,22.72
359,22.79
360,22.8
361,22.97
362,23.04
363,23.16
364,23.53
365,23.66
366,23.61
367,23.61
368,23.75
369,23.92
370,23.82
371,23.73
372,23.79
373,23.54
374,23.77
375,23.78
376,23.9
377,23.84
378,23.9
379,23.9299
380,24.16
381,24.15
382,24.34
383,24.43
384,24.56
385,24.55
386,24.71
387,24.76
388,24.33
389,24.1
390,24.46
391,23.97
392,24.04
393,23.84
394,23.3
395,23.45
396,23.68
397,23.64
398,23.641
399,23.82
400,24.44
401,24.4701
402,24.88
403,24.7799
404,25.075
405,24.8
406,24.82
407,24.95
408,24.99
409,24.97
410,24.96
411,25.25
412,25.29
413,25.42
414,25.59
415,26.04
416,26.36
417,26.2
418,26.88
419,26.8
420,26.57
421,26.07
422,26.1199
423,26.46
424,26.6299
425,26.0701
426,26.17
427,26.53
428,26.47
429,26.49
430,26.87
431,26.96
432,26.53
433,26.75
434,26.73
435,26.81
436,26.902
437,27.08
438,26.95
439,26.29
440,25.98
441,26.27
442,26.55
443,26.7
444,26.55
445,26.59
446,26.52
447,26.63
448,26.18
449,26.2499
450,26.1
451,25.52
452,25.46
453,24.8503
454,24.25
455,23.96
456,24.37
457,24.742
458,24.728
459,24.71
460,24.7
461,24.57
462,24.69
463,24.58
464,24.69
465,24.9199
466,25.19
467,25.15
468,24.99
469,24.74
470,25.12
471,25.24
472,25.529
473,25.63
474,25.62
475,25.4
476,26.13
477,25.9
478,25.88
479,25.87
480,25.53
481,25.5
482,25.59
483,25.79
484,25.95
485,25.93
486,25.61
487,25.85
488,25.93
489,25.71
490,25.54
491,25.84
492,25.88
493,25.98
494,25.9
495,26.41
496,26.53
497,26.38
498,26.01
499,26.25
500,26.11
501,26.43
502,26.41
503,26.4776
504,26.75
505,26.74
506,26.5901
507,26.73
508,26.6
509,26.75
510,26.6
511,26.31
512,26.182
513,26.208
514,26.129
515,26.09
516,25.254
517,24.95
518,25.16
519,25.03
520,25.31
521,25.11
522,25.27
523,25.57
524,25.7299
525,25.64
526,25.66
527,25.32
528,25.24
529,25.36
530,25.55
531,25.56
532,25.66
533,25.32
534,25.38
535,25.42
536,25.51
537,25.77
538,25.97
539,25.91
540,25.84
541,25.55
542,25.35
543,25.65
544,25.49
545,25.31
546,25.34
547,25.28
548,25.05
549,25.13
550,25.08
551,25.08
552,24.63
553,24.76
554,24.63
555,24.72
556,24.64
557,24.81
558,24.68
559,24.55
560,24.25
561,24.09
562,23.92
563,23.97
564,24.05
565,24.07
566,23.73
567,23.67
568,23.45
569,23.8
570,23.75
571,24.16
572,24.17
573,23.86
574,24.0
575,23.76
576,23.99
577,24.43
578,24.11
579,23.97
580,24.08
581,23.97
582,24.13
583,23.85
584,23.99
585,23.97
586,23.83
587,23.81
588,23.9
589,23.78
590,23.91
591,23.948
592,24.05
593,24.02
594,23.82
595,23.88
596,23.84
597,23.86
598,23.63
599,23.61
600,23.66
601,23.5
602,23.51
603,23.47
604,23.47
605,23.44
606,23.42
607,23.49
608,23.66
609,23.63
610,23.32
611,23.13
612,23.13
613,23.1
614,23.21
615,23.48
616,23.56
617,23.58
618,23.47
619,23.36
620,23.45
621,23.59
622,23.53
623,23.38
624,23.31
625,23.23
626,23.28
627,23.28
628,23.37
629,23.24
630,23.28
631,23.26
632,23.41
633,23.32
634,23.34
635,23.25
636,22.99
637,22.91
638,22.86
639,22.81
640,22.79
641,22.71
642,22.64
643,22.68
644,22.76
645,22.84
646,22.6
647,22.7
648,22.87
649,22.81
650,22.88
651,22.92
652,22.79
653,22.95
654,22.9
655,22.77
656,22.67
657,22.69
658,22.54
659,22.72
660,22.62
661,22.57
662,22.4
663,22.41
664,22.47
665,22.36
666,22.46
667,22.32
668,22.31
669,22.43
670,22.58
671,22.638
672,22.73
673,22.57
674,22.7
675,22.62
676,22.68
677,22.51
678,22.94
679,22.83
680,22.54
681,22.44
682,22.48
683,22.8
684,22.32
685,22.22
686,22.36
687,22.28
688,22.35
689,22.44
690,22.27
691,22.29
692,22.03
693,22.26
694,22.17
695,22.07
696,22.14
697,22.15
698,22.48
699,22.48
700,22.59
701,22.5
702,22.5
703,22.68
704,22.63
705,22.79
706,22.77
707,23.01
708,23.01
709,23.08
710,23.16
711,23.03
712,23.03
713,22.97
714,23.04
715,23.04
716,23.08
717,22.92
718,22.91
719,22.85
720,23.0
721,22.84
722,22.72
723,22.72
724,22.7
725,22.64
726,22.77
727,22.84
728,23.12
729,23.12
730,23.08
731,23.05
732,23.15
733,23.23
734,23.27
735,23.45
736,23.35
737,23.27
738,23.4
739,23.55
740,23.65
741,23.64
742,23.49
743,23.56
744,23.55
745,23.63
746,23.43
747,23.65
748,23.65
749,23.72
750,23.68
751,23.81
752,23.76
753,23.71
754,23.64
755,23.72
756,23.65
757,23.51
758,23.64
759,23.63
760,23.62
761,23.66
762,23.62
763,23.57
764,23.42
765,23.55
766,23.38
767,23.39
768,23.55
769,23.71
770,23.65
771,23.73
772,24.05
773,24.13
774,23.96
775,23.84
776,23.93
777,23.8
778,23.66
779,23.78
780,23.85
781,23.9
782,23.88
783,23.7
784,23.6
785,23.6
786,23.48
787,23.57
788,23.65
789,23.69
790,23.73
791,23.78
792,23.89
793,23.84
794,23.83
795,24.12
796,24.11
797,24.0
798,23.96
799,24.11
800,24.38
801,24.61
802,24.8119
803,24.7
804,24.64
805,24.75
806,24.82
807,24.96
808,25.19
809,25.19
810,25.46
811,25.22
812,25.09
813,24.98
814,25.23
815,25.3
816,25.47
817,25.2
818,25.34
819,25.35
820,25.34
821,25.47
