,Close
1333,38.81
1334,37.97
1335,37.91
1336,37.42
1337,37.2
1338,36.4
1339,35.86
1340,33.726
1341,33.95
1342,31.51
1343,31.62
1344,31.78
1345,33.3
1346,33.23
1347,34.22
1348,33.83
1349,34.01
1350,31.72
1351,32.12
1352,32.72
1353,33.42
1354,33.08
1355,32.97
1356,33.15
1357,33.96
1358,34.44
1359,34.51
1360,34.47
1361,33.64
1362,33.59
1363,34.69
1364,34.46
1365,33.85
1366,34.42
1367,34.85
1368,34.34
1369,34.6
1370,34.14
1371,33.29
1372,33.43
1373,32.92
1374,31.13
1375,31.09
1376,31.47
1377,32.37
1378,31.25
1379,31.97
1380,30.49
1381,29.74
1382,29.91
1383,30.84
1384,31.98
1385,32.04
1386,33.24
1387,33.01
1388,32.92
1389,32.65
1390,33.87
1391,33.43
1392,34.15
1393,33.31
1394,33.33
1395,33.85
1396,35.38
1397,35.8
1398,35.06
1399,36.21
1400,36.03
1401,35.74
1402,35.2
1403,35.67
1404,36.32
1405,36.46
1406,37.09
1407,37.43
1408,37.0
1409,37.72
1410,38.21
1411,37.86
1412,38.429
1413,39.34
1414,38.23
1415,37.82
1416,37.59
1417,37.82
1418,37.16
1419,37.16
1420,37.85
1421,38.55
1422,38.78
1423,38.61
1424,39.03
1425,39.01
1426,39.0
1427,38.81
1428,37.78
1429,38.5
1430,37.88
1431,38.61
1432,36.66
1433,36.13
1434,36.27
1435,36.2
1436,37.555
1437,38.11
1438,38.28
1439,38.49
1440,39.06
1441,38.34
1442,38.41
1443,38.11
1444,39.69
1445,39.77
1446,39.17
1447,39.22
1448,39.08
1449,39.34
1450,38.92
1451,38.06
1452,38.16
1453,38.79
1454,38.83
1455,38.69
1456,37.78
1457,38.39
1458,38.1
1459,38.35
1460,38.37
1461,38.3
1462,38.01
1463,37.82
1464,37.38
1465,37.13
1466,37.59
1467,37.33
1468,37.95
1469,38.04
1470,38.33
1471,38.02
1472,38.69
1473,38.84
1474,39.18
1475,39.28
1476,39.75
1477,40.58
1478,40.59
1479,41.37
1480,42.01
1481,41.18
1482,40.79
1483,40.92
1484,41.75
1485,40.77
1486,40.97
1487,40.13
1488,40.61
1489,40.82
1490,41.09
1491,40.7
1492,40.83
1493,40.41
1494,40.28
1495,41.03
1496,41.29
1497,40.43
1498,40.66
1499,40.14
1500,40.69
1501,40.77
1502,40.71
1503,40.19
1504,39.29
1505,39.23
1506,40.03
1507,39.66
1508,38.84
1509,39.26
1510,38.97
1511,38.51
1512,39.01
1513,39.44
1514,39.15
1515,39.18
1516,39.64
1517,39.05
1518,38.96
1519,39.39
1520,39.03
1521,39.17
1522,39.41
1523,39.53
1524,39.62
1525,39.68
1526,40.15
1527,39.89
1528,38.83
1529,37.29
1530,37.05
1531,36.87
1532,36.52
1533,36.61
1534,36.26
1535,35.61
1536,35.28
1537,35.05
1538,35.04
1539,34.43
1540,35.15
1541,34.48
1542,34.09
1543,34.26
1544,34.22
1545,34.23
1546,33.02
1547,32.61
1548,31.43
1549,31.76
1550,31.76
1551,32.15
1552,31.72
1553,31.8
1554,30.699
1555,31.415
1556,31.1
1557,31.73
1558,31.63
1559,31.32
1560,31.68
1561,30.49
1562,29.455
1563,30.1
1564,29.8
1565,29.81
1566,30.2
1567,29.5
1568,31.83
1569,31.43
1570,32.94
1571,32.62
1572,31.59
1573,32.17
1574,31.52
1575,32.33
1576,32.2
1577,32.68
1578,33.12
1579,33.38
1580,33.69
1581,34.64
1582,34.2
1583,33.0
1584,33.15
1585,33.21
1586,33.41
1587,33.67
1588,33.45
1589,32.68
1590,33.17
1591,32.6
1592,34.07
1593,34.42
1594,34.91
1595,34.87
1596,34.93
1597,34.85
1598,34.66
1599,34.92
1600,35.19
1601,35.56
1602,35.95
1603,35.83
1604,35.98
1605,36.22
1606,35.76
1607,35.68
1608,35.61
1609,35.79
1610,35.38
1611,35.26
1612,35.89
1613,35.51
1614,35.57
1615,35.23
1616,35.88
1617,35.85
1618,36.11
1619,36.04
1620,36.51
1621,36.84
1622,35.75
1623,35.57
1624,34.12
1625,34.51
1626,34.49
1627,34.09
1628,33.75
1629,33.34
1630,34.15
1631,34.12
1632,34.25
1633,34.02
1634,32.61
1635,33.94
1636,33.35
1637,33.22
1638,34.18
1639,33.84
1640,34.29
1641,34.0
1642,34.0
1643,34.135
1644,34.1
1645,34.07
1646,33.34
1647,32.9
1648,31.97
1649,31.63
1650,31.78
1651,31.79
1652,31.78
1653,32.06
1654,31.35
1655,31.61
1656,32.56
1657,31.2094
1658,31.3
1659,31.73
1660,31.59
1661,31.41
1662,31.77
1663,31.49
1664,31.9276
1665,32.67
1666,31.95
1667,32.12
1668,32.32
1669,32.19
1670,31.98
1671,31.79
1672,32.17
1673,32.56
1674,32.6
1675,32.405
1676,32.22
1677,31.66
1678,31.53
1679,31.39
1680,31.47
1681,31.78
1682,31.58
1683,31.81
1684,32.005
1685,32.18
1686,32.67
1687,32.73
1688,32.36
1689,32.24
1690,33.15
1691,33.19
1692,33.04
1693,33.37
1694,33.82
1695,33.74
1696,33.88
1697,33.92
1698,33.96
1699,33.88
1700,34.17
1701,34.06
1702,34.28
1703,33.99
1704,34.28
1705,34.67
1706,34.77
1707,35.01
1708,34.61
1709,34.76
1710,34.78
1711,34.94
1712,35.29
1713,35.49
1714,35.28
1715,35.35
1716,34.78
1717,35.03
1718,35.04
1719,34.68
1720,34.7
1721,35.12
1722,35.28
1723,35.19
1724,35.27
1725,34.72
1726,34.96
1727,34.17
1728,33.43
1729,33.6
1730,33.21
1731,33.33
1732,33.4
1733,33.06
1734,32.74
1735,32.4
1736,32.69
1737,32.54
1738,32.94
1739,33.05
1740,33.04
1741,33.26
1742,33.19
1743,33.42
1744,33.6
1745,33.65
1746,33.07
1747,33.45
1748,33.05
1749,33.61
1750,33.85
1751,34.45
1752,34.55
1753,34.75
1754,34.68
1755,34.65
1756,33.76
1757,33.39
1758,33.28
1759,33.49
1760,33.64
1761,33.83
1762,33.46
1763,32.53
1764,31.49
1765,31.76
1766,31.01
1767,31.64
1768,31.39
1769,31.82
1770,31.86
1771,32.659
1772,33.25
1773,33.12
1774,33.61
1775,33.16
1776,32.39
1777,33.49
1778,34.01
1779,34.14
1780,34.01
1781,34.4
1782,34.17
1783,34.14
1784,33.86
1785,33.56
1786,33.61
1787,33.87
1788,34.21
1789,34.439
1790,34.11
1791,33.46
1792,33.54
1793,33.37
1794,33.79
1795,33.1
1796,33.25
1797,32.61
1798,33.16
1799,33.2
1800,33.26
1801,33.62
1802,34.16
1803,34.0
1804,33.79
1805,34.03
1806,34.33
1807,34.74
1808,34.76
1809,34.96
1810,34.78
1811,33.63
1812,33.23
1813,33.64
1814,33.74
1815,33.8
1816,34.33
1817,34.18
1818,34.67
1819,35.21
1820,35.84
1821,36.56
1822,36.41
1823,36.77
1824,37.43
1825,37.01
1826,37.56
1827,37.67
1828,37.48
1829,37.8
1830,38.34
1831,38.45
1832,37.92
1833,38.09
1834,37.4
1835,37.58
1836,37.21
1837,37.13
1838,36.67
1839,37.36
1840,38.27
1841,37.94
1842,37.83
1843,37.46
1844,37.01
1845,36.84
1846,37.59
1847,37.76
1848,37.9
1849,38.09
1850,38.24
1851,38.4
1852,38.17
1853,37.52
1854,37.17
1855,37.54
1856,37.95
1857,37.96
1858,38.87
1859,39.08
1860,38.58
1861,38.48
1862,38.76
1863,38.34
1864,38.69
1865,39.36
1866,38.94
1867,38.335
1868,38.48
1869,38.865
1870,38.85
1871,38.11
1872,37.74
1873,38.68
1874,38.08
1875,37.77
1876,37.27
1877,37.22
1878,36.88
1879,37.08
1880,36.96
1881,36.85
1882,36.68
1883,37.42
1884,37.14
1885,37.31
1886,37.14
1887,37.31
1888,36.55
1889,37.1
1890,36.75
1891,36.87
1892,36.47
1893,36.92
1894,36.38
1895,36.45
1896,35.94
1897,35.41
1898,34.95
1899,34.99
1900,35.32
1901,35.55
1902,35.41
1903,34.85
1904,34.69
1905,34.129
1906,34.04
1907,33.67
1908,34.189
1909,33.97
1910,34.01
1911,34.26
1912,33.64
1913,33.9
1914,33.93
1915,33.88
1916,33.62
1917,33.72
1918,33.63
1919,34.17
1920,34.04
1921,33.82
1922,33.69
1923,33.19
1924,33.46
1925,33.68
1926,34.51
1927,34.88
1928,34.93
1929,35.05
1930,34.91
1931,35.31
1932,34.98
1933,34.97
1934,34.64
1935,34.94
1936,34.87
1937,35.03
1938,35.32
1939,35.48
1940,35.36
1941,35.49
1942,35.65
1943,35.84
1944,35.53
1945,35.32
1946,34.23
1947,33.75
1948,33.57
1949,33.58
1950,33.16
1951,33.08
1952,33.19
1953,32.81
1954,33.04
1955,33.77
1956,33.65
1957,33.69
1958,33.99
1959,34.56
1960,34.72
1961,34.58
1962,34.23
1963,34.69
1964,34.73
1965,34.95
1966,34.8
1967,34.52
1968,34.74
1969,34.71
1970,34.9
1971,35.64
1972,35.63
1973,35.64
1974,35.8
1975,35.87
1976,35.91
1977,36.66
1978,36.9
1979,36.88
1980,36.69
1981,36.79
1982,36.59
1983,36.75
1984,36.69
1985,36.74
1986,37.52
1987,37.06
1988,36.24
1989,36.57
1990,36.78
1991,36.3
1992,35.81
1993,35.35
1994,35.34
1995,35.53
1996,35.15
1997,35.58
1998,35.71
1999,35.58
2000,35.84
2001,35.82
2002,35.77
2003,36.09
2004,36.5
2005,36.62
2006,36.59
2007,35.83
2008,35.8
2009,36.14
2010,36.43
2011,36.28
2012,36.9
2013,37.22
2014,37.2
2015,37.18
2016,37.38
2017,37.39
2018,37.48
2019,37.66
2020,37.64
2021,37.0
2022,36.91
2023,37.05
2024,36.6
2025,36.71
2026,36.72
2027,36.32
2028,36.16
2029,36.29
2030,36.14
2031,36.19
2032,36.6
2033,36.49
2034,36.4
2035,36.59
2036,37.04
2037,37.18
2038,37.04
2039,37.23
2040,37.38
2041,37.52
2042,37.98
2043,38.01
2044,38.18
2045,38.14
2046,37.68
2047,37.91
2048,37.68
2049,37.53
2050,37.64
2051,37.51
2052,37.55
2053,37.61
2054,38.18
2055,38.28
2056,38.25
2057,39.08
2058,39.12
2059,39.17
2060,38.99
2061,39.01
2062,39.13
2063,39.32
2064,39.16
2065,39.09
2066,39.29
2067,38.97
2068,38.98
2069,38.88
2070,38.86
2071,38.4
2072,38.25
2073,38.17
2074,38.18
2075,37.69
2076,37.9
2077,37.16
2078,37.32
2079,36.88
2080,37.31
2081,37.72
2082,37.72
2083,38.1
2084,37.95
2085,38.16
2086,37.82
2087,37.77
2088,37.64
2089,37.39
2090,36.92
2091,36.315
2092,36.19
2093,36.48
2094,36.16
2095,35.95
2096,36.16
2097,36.12
2098,36.22
2099,35.99
2100,36.02
2101,35.11
2102,35.44
2103,35.06
2104,34.71
2105,34.86
2106,35.09
2107,34.96
2108,34.87
2109,35.04
2110,35.03
2111,35.32
2112,35.76
2113,34.79
2114,35.55
2115,35.3
2116,34.9
2117,34.7
2118,34.62
2119,34.26
2120,34.69
2121,34.38
2122,34.56
2123,35.25
2124,35.01
2125,34.62
2126,34.57
2127,34.19
2128,34.44
2129,35.0
2130,34.83
2131,35.16
2132,35.52
2133,34.41
2134,34.15
2135,34.37
2136,33.77
2137,34.04
2138,33.44
